student,gender,age,region,traveltime,studytime,performance,parentincome,activities,educatedparent,internet,freetime,attendance,G1,G2,G3,total,percentage,percent,result,shortlisted,inc
173,male,17,urban,1,2,60,200,1,0,1,4,50,13,11,10,35,58.33333333, 58.00 ,1,0,200
174,female,16,urban,1,2,60,70,1,0,0,3,57,8,7,0,15,25, 25.00 ,0,1,100
175,female,16,urban,2,3,80,500,1,1,1,4,57,10,11,9,30,50, 50.00 ,0,0,500
176,male,17,urban,2,2,60,500,1,1,1,4,88,10,9,9,28,46.66666667, 46.00 ,0,0,100
177,female,16,urban,2,2,60,65,1,0,0,4,72,13,13,11,38,63.33333333, 63.00 ,1,1,300
178,male,17,urban,1,4,90,400,1,1,1,3,72,6,5,6,17,28.33333333, 28.00 ,0,0,450
179,male,16,rural,1,1,40,65,1,0,0,3,65,10,8,9,27,45, 45.00 ,0,1,100
180,male,17,urban,1,2,60,200,1,0,1,2,85,10,10,11,32,53.33333333, 53.00 ,1,0,100
181,male,16,urban,1,2,60,80,1,0,0,4,55,9,8,8,25,41.66666667, 41.00 ,0,1,400
182,male,16,urban,1,4,90,100,1,0,0,2,55,12,13,12,38,63.33333333, 63.00 ,1,1,450
183,female,17,urban,1,2,60,65,1,0,0,4,51,16,17,17,51,85, 85.00 ,1,1,80
184,female,17,urban,1,2,60,450,1,1,1,3,87,9,9,8,26,43.33333333, 43.00 ,0,0,400
185,female,16,urban,1,3,80,65,0,0,0,2,55,12,13,12,38,63.33333333, 63.00 ,1,1,450
186,male,17,urban,1,2,60,300,1,1,1,3,75,12,12,11,36,60, 60.00 ,1,0,70
187,male,16,urban,1,1,40,250,1,0,1,3,56,11,12,11,35,58.33333333, 58.00 ,1,0,200
188,male,16,urban,1,2,60,250,1,0,1,2,88,15,15,15,46,76.66666667, 76.00 ,1,0,500
189,female,17,urban,1,2,60,500,0,1,1,3,51,8,7,9,24,40, 40.00 ,0,0,450
190,male,17,rural,1,3,80,65,0,0,0,1,94,8,9,10,28,46.66666667, 46.00 ,1,1,70
191,female,16,urban,1,2,60,300,0,1,1,3,54,11,12,13,37,61.66666667, 61.00 ,1,0,200
192,female,17,urban,1,4,90,65,1,0,0,3,89,8,8,9,25,41.66666667, 41.00 ,0,1,300
193,male,17,urban,2,2,60,100,1,0,0,4,65,7,8,8,23,38.33333333, 38.00 ,0,1,80
194,male,16,rural,1,1,40,65,1,0,0,3,51,8,9,10,28,46.66666667, 46.00 ,1,1,80
195,male,16,urban,2,4,90,300,0,1,1,3,87,13,14,14,42,70, 70.00 ,1,0,250
196,female,17,urban,1,2,60,80,1,0,0,3,67,14,15,15,45,75, 75.00 ,1,1,250
197,male,17,urban,1,1,40,500,0,1,1,2,50,17,15,16,49,81.66666667, 81.00 ,1,0,70
198,male,16,rural,3,1,40,80,1,0,0,3,59,9,9,10,29,48.33333333, 48.00 ,1,1,100
199,female,17,urban,2,4,90,250,0,0,1,2,88,18,18,18,55,91.66666667, 91.00 ,1,0,200
200,female,16,urban,1,2,60,100,0,0,0,5,75,9,9,10,29,48.33333333, 48.00 ,1,1,500
201,female,16,urban,1,2,60,500,1,1,1,3,75,16,16,16,49,81.66666667, 81.00 ,1,0,400
202,female,16,urban,1,3,80,200,1,0,1,4,58,8,10,10,29,48.33333333, 48.00 ,1,0,450
203,female,17,urban,1,2,60,500,0,1,1,4,87,9,9,10,29,48.33333333, 48.00 ,1,0,500
204,female,17,rural,1,1,40,65,0,0,0,3,69,7,6,6,19,31.66666667, 31.00 ,0,1,400
205,female,16,rural,2,4,90,250,1,0,1,3,91,10,10,11,32,53.33333333, 53.00 ,1,0,70
206,female,17,urban,1,3,80,450,0,1,1,4,71,10,9,9,28,46.66666667, 46.00 ,0,0,500
207,female,16,urban,1,2,60,300,0,1,1,3,81,7,7,7,21,35, 35.00 ,0,0,200
208,female,16,urban,1,2,60,250,1,0,1,3,69,11,12,13,37,61.66666667, 61.00 ,1,0,300
209,female,16,urban,2,1,40,100,0,0,0,3,74,9,9,10,29,48.33333333, 48.00 ,1,1,70
210,female,17,rural,2,3,80,300,1,1,1,4,58,7,7,7,21,35, 35.00 ,0,0,500
211,female,19,urban,1,4,90,200,1,0,1,3,60,8,8,8,24,40, 40.00 ,0,0,250
212,male,17,urban,1,2,60,200,0,0,1,3,55,12,12,13,38,63.33333333, 63.00 ,1,0,300
213,female,16,urban,1,2,60,300,0,1,1,3,85,12,13,14,40,66.66666667, 66.00 ,1,0,400
214,male,18,urban,1,2,60,300,1,1,1,4,90,6,7,8,21,35, 35.00 ,0,0,65
215,female,17,rural,1,3,80,450,0,1,1,2,67,8,10,10,29,48.33333333, 48.00 ,1,0,200
216,female,17,urban,2,2,60,300,0,1,1,4,55,14,15,15,45,75, 75.00 ,1,0,100
217,female,17,urban,1,2,60,100,0,0,0,4,77,6,6,4,16,26.66666667, 26.00 ,0,1,500
218,male,18,urban,1,2,60,65,0,0,0,2,75,6,6,8,20,33.33333333, 33.00 ,0,1,200
219,female,17,urban,2,1,40,80,0,0,0,3,92,7,7,8,22,36.66666667, 36.00 ,0,1,80
220,female,17,urban,1,3,80,300,1,1,1,3,51,9,10,10,30,50, 50.00 ,1,0,65
221,female,17,rural,2,2,60,80,1,0,0,2,76,6,6,6,18,30, 30.00 ,0,1,500
222,female,17,urban,1,3,80,500,1,1,1,3,80,6,5,0,11,18.33333333, 18.00 ,0,0,300
223,female,16,urban,1,2,60,500,0,1,1,3,66,16,16,17,50,83.33333333, 83.00 ,1,0,250
224,male,18,urban,2,4,90,300,0,1,1,3,69,12,13,13,39,65, 65.00 ,1,0,300
225,female,16,urban,1,3,80,250,1,0,1,3,55,13,13,14,41,68.33333333, 68.00 ,1,0,450
226,female,18,rural,1,2,60,70,1,0,0,3,78,9,8,7,24,40, 40.00 ,0,1,70
227,female,17,urban,1,2,60,250,1,0,1,3,51,16,15,15,47,78.33333333, 78.00 ,1,0,100
228,male,17,urban,1,2,60,100,0,0,0,3,85,12,11,12,36,60, 60.00 ,1,1,100
229,male,18,urban,4,2,60,70,1,0,0,3,92,10,8,9,27,45, 45.00 ,0,1,200
230,female,17,urban,2,3,80,500,1,1,1,2,86,12,10,12,35,58.33333333, 58.00 ,1,0,70
231,female,17,urban,1,2,60,100,1,0,0,2,87,13,13,14,41,68.33333333, 68.00 ,1,1,70
232,male,17,rural,2,2,60,400,1,1,1,5,60,11,11,11,34,56.66666667, 56.00 ,1,0,450
233,male,17,urban,1,2,60,450,1,1,1,5,54,11,9,9,29,48.33333333, 48.00 ,0,0,250
234,male,16,urban,1,2,60,100,1,0,0,2,70,14,13,13,41,68.33333333, 68.00 ,1,1,200
235,male,16,urban,2,2,60,70,0,0,0,4,71,9,7,6,22,36.66666667, 36.00 ,0,1,200
236,male,16,urban,2,3,80,65,1,0,0,3,74,11,9,10,31,51.66666667, 51.00 ,1,1,200
237,male,17,urban,1,4,90,65,1,0,0,4,86,14,13,13,41,68.33333333, 68.00 ,1,1,100
238,female,16,urban,1,1,40,450,0,1,1,5,94,13,12,12,38,63.33333333, 63.00 ,1,0,450
239,female,17,rural,3,2,60,250,1,0,1,1,52,13,11,11,36,60, 60.00 ,1,0,80
240,male,18,urban,1,3,80,70,0,0,0,5,82,7,7,0,14,23.33333333, 23.00 ,0,1,70
241,male,17,urban,2,2,60,80,1,0,0,5,81,12,12,12,37,61.66666667, 61.00 ,1,1,400
242,male,17,rural,2,2,60,70,0,0,0,3,69,10,11,12,34,56.66666667, 56.00 ,1,1,80
243,male,16,urban,1,1,40,250,1,0,1,4,92,6,0,0,6,10, 10.00 ,0,0,200
244,male,16,urban,1,1,40,80,1,0,0,3,85,13,12,12,38,63.33333333, 63.00 ,1,1,200
245,female,18,urban,2,3,80,100,0,0,0,4,90,7,0,0,7,11.66666667, 11.00 ,0,1,450
246,male,16,urban,3,1,40,70,0,0,0,3,50,18,18,18,55,91.66666667, 91.00 ,1,1,100
247,male,17,urban,2,1,40,70,0,0,0,2,60,12,12,13,38,63.33333333, 63.00 ,1,1,200
248,male,22,urban,1,1,40,450,0,1,1,4,57,6,8,8,22,36.66666667, 36.00 ,0,0,100
249,male,18,rural,1,2,60,500,0,1,1,3,77,3,5,5,13,21.66666667, 21.00 ,0,0,200
250,male,16,urban,1,1,40,200,0,0,1,3,67,13,15,15,44,73.33333333, 73.00 ,1,0,450
251,male,18,urban,2,3,80,500,0,1,1,4,84,6,8,8,22,36.66666667, 36.00 ,0,0,450
252,male,16,urban,3,2,60,400,0,1,1,3,72,7,10,10,28,46.66666667, 46.00 ,1,0,100
253,male,18,urban,1,1,40,500,0,1,1,2,93,6,9,8,23,38.33333333, 38.00 ,0,0,65
254,male,16,rural,2,1,40,100,1,0,0,3,72,8,9,8,25,41.66666667, 41.00 ,0,1,80
255,male,17,rural,1,3,80,450,0,1,1,4,88,8,12,12,33,55, 55.00 ,1,0,100
256,male,17,urban,2,1,40,80,1,0,0,4,72,7,9,8,24,40, 40.00 ,0,1,500
257,female,17,urban,1,4,90,250,1,0,1,2,60,14,12,13,40,66.66666667, 66.00 ,1,0,65
258,male,19,urban,1,2,60,200,0,0,1,3,51,11,11,11,34,56.66666667, 56.00 ,1,0,100
259,male,18,urban,1,2,60,300,1,1,1,2,63,15,14,14,44,73.33333333, 73.00 ,1,0,400
260,female,17,urban,1,2,60,200,1,0,1,4,90,10,9,0,19,31.66666667, 31.00 ,0,0,450
261,female,18,urban,1,2,60,250,0,0,1,1,74,17,18,18,54,90, 90.00 ,1,0,400
262,male,18,urban,1,2,60,300,0,1,1,3,84,8,8,8,24,40, 40.00 ,0,0,100
263,male,18,rural,1,3,80,250,1,0,1,3,57,13,12,12,38,63.33333333, 63.00 ,1,0,450
